Provinsi,year,"IPM","LamaSekolah","PendudukMiskin","AktaKelahiran","PersentaseMerokok","KonsumsiKalori","MelekHuruf","Penerangan","IDI","TeleponGenggam","AnakBekerja"
Jambi,2017,69.99,8.61,286.55,91.02,29.18,2108.89,99.62,92.29,74.12,60.08,
Sumatera Selatan,2017,68.86,8.41,1086.92,87.57,32.46,2250.05,99.45,93.64,74.04,57.01,
Bengkulu,2017,69.95,8.91,316.98,89.14,33.41,2106.82,99.53,95.03,72.73,58.3,
Lampung,2017,68.25,8.19,1131.73,86.49,33.75,2150.83,98.92,93.98,72.01,56.44,
Kepulauan Bangka Belitung,2017,69.99,8.13,74.09,94.35,29.67,2164.98,98.77,98.04,80.11,63.43,
Kepulauan Riau,2017,74.45,10,125.37,94.4,29.98,2180.00,99.41,94.91,76.33,73.35,
Dki Jakarta,2017,80.06,10.97,389.69,96.97,24.72,2153.62,99.81,99.80,84.73,76.99,
Jawa Barat,2017,70.69,8.46,4168.44,80.85,33.19,2230.92,99.57,99.80,68.78,62.55,
Jawa Tengah,2017,70.52,7.77,4450.72,94.28,27.69,2080.76,97.7,99.90,70.85,57.62,
Daerah Istimewa Yogyakarta,2017,78.89,9.68,488.53,97.29,22.92,2254.22,98.56,99.88,83.61,65.73,
Jawa Timur,2017,70.27,7.87,4617.01,87.1,27.69,2140.55,96.49,99.39,70.92,58.3,
Banten,2017,71.42,8.87,675.04,77.29,31.77,2249.33,98.89,99.81,73.72,61.63,
Bali,2017,74.3,8.93,180.13,87.45,22.22,2239.32,97.05,99.81,78.8,66.24,
Nusa Tenggara Barat,2017,66.58,7.64,793.78,74.66,30.59,2187.31,92.13,99.02,76.04,48.96,
Nusa Tenggara Timur,2017,63.73,7.62,1150.79,56.65,27.31,2031.60,94.52,66.02,75.51,40.97,
Kalimantan Barat,2017,66.26,7.57,387.43,81.77,28.84,1960.58,95.59,82.50,79.13,54.73,
Kalimantan Tengah,2017,69.79,8.59,139.16,82.58,29.24,2162.87,99.75,81.75,76.12,65.64,
Kalimantan Selatan,2017,69.65,8.37,193.92,87.64,25.03,2286.87,99.66,96.84,76.25,65.42,
Kalimantan Timur,2017,75.12,9.62,220.17,92.3,24.69,1997.46,99.7,92.43,72.86,74.3,
Kalimantan Utara,2017,69.84,9.1,49.47,90.89,28.18,1977.32,97.39,91.54,81.06,68.62,
Sulawesi Utara,2017,71.66,9.4,198.88,86.56,29.27,2291.67,99.86,98.81,75.76,61.95,
Sulawesi Tengah,2017,68.11,8.64,417.87,71.53,32.18,2165.32,99.2,87.31,69.79,53.49,
Sulawesi Selatan,2017,70.34,8.42,813.07,86.06,25.44,2209.75,95.25,95.78,70.79,60.3,
Sulawesi Tenggara,2017,69.86,8.93,331.71,80.31,29.22,2131.69,97.4,88.88,68.51,56.85,
Gorontalo,2017,67.01,7.77,205.37,89.61,34.46,2143.18,99.01,95.43,73.92,55.36,
Sulawesi Barat,2017,64.3,7.84,149.76,84.41,26.59,2057.51,95.5,77.80,67.74,46.76,
Maluku,2017,68.19,9.74,320.51,75.72,27.46,1886.52,99.37,86.41,77.45,52.64,
Maluku Utara,2017,67.2,9,76.47,76.18,30.57,1783.27,99.68,84.33,70.73,49.53,
Papua Barat,2017,62.99,9.67,228.38,70.65,27.6,1875.44,97.96,78.15,62.76,59.88,
Papua,2017,59.09,6.58,897.69,44.5,27.28,1924.39,74.12,41.61,61.34,36.31,
Aceh,2018,71.19,9.46,839.49,87.85,31.76,2101.57,99.45,99.14,79.97,59.05,1.68
Sumatera Utara,2018,71.18,9.61,1324.98,72.29,31.1,2184.97,99.58,96.35,64.33,59.45,4.29
Sumatera Barat,2018,71.73,9.1,357.13,85.35,35.32,2156.70,99.73,96.59,67.06,62.83,2.51
Riau,2018,72.44,9.11,500.44,76.78,32.72,2079.67,99.92,89.91,77.59,67.74,1.92
Jambi,2018,70.65,8.7,281.69,90.95,28.21,2106.10,99.66,93.56,68.71,64.29,2.88
Sumatera Selatan,2018,69.39,8.48,1068.27,88.82,33.07,2134.53,99.53,95.10,77.14,61.12,2.32
Bengkulu,2018,70.64,8.94,301.81,90.66,35.53,2162.35,99.56,97.18,70.71,60.31,2.56
Lampung,2018,69.02,8.29,1097.05,88.14,35.95,2082.31,99.02,95.55,68.67,59.81,2.55
Kepulauan Bangka Belitung,2018,70.67,8.24,76.26,95.12,32.32,2137.94,98.79,99.13,73.43,68.41,4.26
Kepulauan Riau,2018,74.84,10.01,131.68,92.95,29.67,2115.22,99.47,95.67,79.19,74.11,1.09
Dki Jakarta,2018,80.47,11.06,373.12,96.23,30.77,2229.75,99.95,100.00,85.08,76.16,1.48
Jawa Barat,2018,71.3,8.61,3615.79,81.33,35.78,2215.58,99.81,99.82,65.5,65.01,2.35
Jawa Tengah,2018,71.12,7.84,3897.2,93.84,30.79,2106.67,97.73,99.91,72.17,60.47,1.98
Daerah Istimewa Yogyakarta,2018,79.53,9.73,460.1,97.4,25.8,2223.71,98.71,99.92,80.82,68.32,1.73
Jawa Timur,2018,70.77,7.93,4332.59,86.18,30.66,2132.82,96.58,99.59,72.86,60.66,1.95
Banten,2018,71.95,8.93,661.36,76.61,34.93,2261.77,98.84,99.59,73.78,64.25,2.01
Bali,2018,74.77,9,171.76,90.49,26.05,2282.83,97.01,99.81,82.37,67.99,3.96
Nusa Tenggara Barat,2018,67.3,7.69,737.46,79.65,33.92,2316.43,92.49,99.11,73.63,53.88,3.94
Nusa Tenggara Timur,2018,64.39,7.7,1142.17,58.17,31.3,1956.37,94.76,69.37,82.32,43.91,4.42
Kalimantan Barat,2018,66.98,7.65,387.08,81.95,30.92,1924.96,95.79,83.54,76.14,58.25,2.86
